question,answer,options.A,options.B,options.C,options.D,meta_info,answer_idx,metamap_phrases
"A 24-year-old G2P1 woman at 39 weeks’ gestation presents to the emergency department complaining of painful contractions occurring every 10 minutes for the past 2 hours, consistent with latent labor. She says she has not experienced vaginal discharge, bleeding, or fluid leakage, and is currently taking no medications. On physical examination, her blood pressure is 110/70 mm Hg, heart rate is 86/min, and temperature is 37.6°C (99.7°F). She has had little prenatal care and uses condoms inconsistently. Her sexually transmitted infections status is unknown. As part of the patient’s workup, she undergoes a series of rapid screening tests that result in the administration of zidovudine during delivery. The infant is also given zidovudine to reduce the risk of transmission. A confirmatory test is then performed in the mother to confirm the diagnosis of HIV. Which of the following is most true about the confirmatory test?",It is an HIV-1/HIV2 antibody differentiation immunoassay,"It is a Southwestern blot, identifying the presence of DNA-binding proteins","It is a Northern blot, identifying the presence of RNA","It is a Northern blot, identifying the presence of DNA",It is an HIV-1/HIV2 antibody differentiation immunoassay,step1,D,"[""year old"",""woman"",""weeks presents"",""emergency department"",""painful contractions occurring"",""10"",""past"",""hours"",""consistent with latent labor"",""not experienced vaginal discharge"",""bleeding"",""fluid leakage"",""currently taking"",""medications"",""physical examination"",""blood pressure"",""70 mm Hg"",""heart rate"",""min"",""temperature"",""99"",""little prenatal care"",""uses condoms"",""sexually transmitted infections status"",""unknown"",""part of"",""patients workup"",""series"",""rapid screening tests"",""result"",""administration"",""zidovudine"",""delivery"",""infant"",""zidovudine to"",""risk"",""transmission"",""confirmatory test"",""then performed"",""mother to confirm"",""diagnosis"",""HIV"",""following"",""most true"",""confirmatory test""]"
"A 72-year-old man comes to the physician because of a 2-month history of fatigue and worsening abdominal pain. During this period, he also has excessive night sweats and shortness of breath on exertion. Over the past 3 months, he has had a 5.6-kg (12-lb) weight loss. He had a myocardial infarction 3 years ago. He has hypertension, diabetes mellitus, and chronic bronchitis. His medications include insulin, aspirin, lisinopril, and an albuterol inhaler. He has smoked half a pack of cigarettes for the past 45 years. Vital signs are within normal limits. The spleen is palpated 6 cm below the left costal margin. Laboratory studies show:
Hemoglobin 6.4 g/dL
Mean corpuscular volume 85 μm3
Leukocyte count 5,200/mm3
Platelet count 96,000/mm3
A blood smear is shown. Bone marrow aspiration shows extensive fibrosis and a few scattered plasma cells. A JAK 2 assay is positive. Which of the following is the most appropriate next step in management?""",Ruxolitinib,Cladribine,Prednisone,Imatinib,Ruxolitinib,step2&3,D,"[""72 year old man"",""physician"",""2 month history"",""fatigue"",""worsening abdominal pain"",""period"",""excessive night sweats"",""shortness of breath"",""exertion"",""past 3 months"",""5.6 kg"",""weight loss"",""myocardial infarction"",""years"",""hypertension"",""diabetes mellitus"",""chronic bronchitis"",""medications include insulin"",""aspirin"",""lisinopril"",""albuterol inhaler"",""smoked half"",""pack"",""cigarettes"",""past"",""years"",""Vital signs"",""normal limits"",""spleen"",""palpated"",""cm"",""left costal margin"",""Laboratory studies show"",""Hemoglobin"",""g Mean corpuscular volume 85 m3 Leukocyte count"",""200 mm3 Platelet count 96"",""blood smear"",""shown"",""Bone marrow aspiration shows extensive fibrosis"",""few scattered plasma cells"",""JAK 2 assay"",""positive"",""following"",""most appropriate next step"",""management""]"
A 20-year-old man comes to the physician because of worsening gait unsteadiness and bilateral hearing loss for 1 month. He has had intermittent tingling sensations on both cheeks over this time period. He has no history of serious medical illness and takes no medications. Audiometry shows bilateral sensorineural hearing loss. Genetic evaluation shows a mutation of a tumor suppressor gene on chromosome 22 that encodes merlin. This patient is at increased risk for which of the following conditions?,Meningioma,Renal cell carcinoma,Meningioma,Astrocytoma,Vascular malformations,step1,B,"[""20 year old man"",""physician"",""worsening gait unsteadiness"",""bilateral hearing loss"",""month"",""intermittent tingling sensations"",""cheeks"",""time period"",""history of serious medical illness"",""takes"",""medications"",""Audiometry shows bilateral sensorineural hearing loss"",""Genetic evaluation shows"",""mutation"",""tumor suppressor gene"",""chromosome 22"",""encodes merlin"",""patient"",""increased risk"",""following conditions""]"
"A 47-year-old executive schedules an appointment his physician for a routine medical check-up. He currently has no complaints and claims to be “as fit as a fiddle.” The physical examination findings are unremarkable, except for a mid-systolic murmur heard in the 2nd left intercostal space that radiates to the carotids on auscultation. The physician instructs the patient to stand from a supine position with the stethoscope still placed on his chest. Which of the following changes would occur with this maneuver?",A reduction in diastolic filling time,An increase in right atrial pressure,An increase in pulmonary capillary wedge pressure,A reduction in the slope of the pacemaker potential,A reduction in diastolic filling time,step1,D,"[""year old executive schedules"",""appointment"",""physician"",""routine medical check-up"",""currently"",""complaints"",""to"",""fit"",""physical examination findings"",""unremarkable"",""except for"",""systolic murmur heard"",""2nd left intercostal space"",""radiates"",""carotids"",""auscultation"",""physician"",""patient to stand"",""supine position"",""stethoscope"",""placed"",""chest"",""following changes"",""occur""]"
"A microbiologist is studying the emergence of a virulent strain of the virus. After a detailed study of the virus and its life cycle, he proposes a theory: Initially, a host cell is co-infected with 2 viruses from the same virus family. Within the host cell, concomitant production of various genome segments from both viruses occurs. Ultimately, the different genome segments from the viruses are packaged into a unique and novel virus particle. The newly formed virus particle is both stable and viable and is a new strain from the virus family that caused the outbreak of infection. Which of the following viruses is capable of undergoing the above-mentioned process?",Rotavirus,Epstein-Barr virus,Human immunodeficiency virus,Rotavirus,Vaccinia virus,step1,C,"[""microbiologist"",""studying"",""emergence"",""virulent strain"",""virus"",""detailed study"",""virus"",""life cycle"",""theory"",""Initially"",""host cell"",""co infected"",""viruses"",""same virus family"",""host cell"",""concomitant production"",""various genome segments"",""viruses occurs"",""different genome segments"",""viruses"",""packaged"",""unique"",""novel virus particle"",""newly formed virus particle"",""stable"",""viable"",""new strain"",""virus family"",""caused"",""outbreak"",""infection"",""following viruses"",""capable"",""process""]"
"A 59-year-old overweight woman presents to the urgent care clinic with the complaint of severe abdominal pain for the past 2 hours. She also complains of a dull pain in her back with nausea and vomiting several times. Her pain has no relation with food. Her past medical history is significant for recurrent abdominal pain due to cholelithiasis. Her father died at the age of 60 with some form of abdominal cancer. Her temperature is 37°C (98.6°F), respirations are 15/min, pulse is 67/min, and blood pressure is 122/98 mm Hg. Physical exam is unremarkable. However, a CT scan of the abdomen shows a calcified mass near her gallbladder. Which of the following diagnoses should be excluded first in this patient?",Gallbladder cancer,Acute cholecystitis,Gallbladder cancer,Choledocholithiasis,Pancreatitis,step2&3,B,"[""59 year old overweight woman presents"",""urgent care clinic"",""complaint"",""severe abdominal"",""past"",""hours"",""dull pain"",""back"",""nausea"",""vomiting"",""times"",""pain"",""relation"",""food"",""past medical history"",""significant"",""recurrent abdominal pain"",""cholelithiasis"",""father died"",""age"",""60"",""form"",""abdominal cancer"",""temperature"",""98"",""respirations"",""min"",""pulse"",""67 min"",""blood pressure"",""98 mm Hg"",""Physical exam"",""unremarkable"",""CT scan"",""abdomen shows"",""calcified mass"",""gallbladder"",""following diagnoses"",""excluded first"",""patient""]"
"A 7-year-old boy is brought to his pediatrician’s office for a follow-up visit. He was diagnosed with asthma when he was 3 years old and has since been on treatment for the condition. He is currently on a β-agonist inhaler because of exacerbation of his symptoms. He has observed that his symptoms are more prominent in springtime, especially when the new flowers are blooming. His mother has a backyard garden and whenever he goes out to play there, he experiences chest tightness with associated shortness of breath. He has been advised to take more precaution during this seasonal change and to stay away from pollen. He is also being considered for an experimental therapy, which attenuates the activity of certain mediators which cause his asthmatic attack. The targeted mediator favors the class switching of antibodies. A reduction in this mechanism will eventually reduce the exaggerated response observed during his asthmatic attacks, even when exposed to an allergen. Which of the following mediators is described in this experimental study?",IL-4,IL-2,IL-10,IL-13,IL-4,step2&3,D,"[""year old boy"",""brought"",""pediatricians office"",""follow-up visit"",""diagnosed"",""asthma"",""3 years old"",""since"",""on treatment"",""condition"",""currently"",""agonist inhaler"",""exacerbation"",""symptoms"",""observed"",""symptoms"",""more prominent"",""new flowers"",""mother"",""backyard garden"",""goes out to play"",""experiences chest tightness with associated shortness of breath"",""to take more precaution"",""seasonal change"",""to"",""pollen"",""considered"",""experimental therapy"",""attenuates"",""activity"",""certain mediators"",""cause"",""asthmatic attack"",""targeted mediator favors"",""class switching"",""antibodies"",""reduction"",""mechanism"",""exaggerated response observed"",""asthmatic attacks"",""exposed"",""allergen"",""following mediators"",""described"",""experimental study""]"
"A 3-month-old boy is brought the emergency department by his parents after an episode of cyanosis and muscle hypotonia that resolved after 2 minutes. Diagnostic evaluation fails to discover an exact etiology of the boy's symptoms and the episode is classified as a brief resolved unexplained event (BRUE). The risk profile for BRUE in infants remains largely unknown. The pediatrician who saw the boy in the emergency department is trying to identify risk factors for BRUE. She is aware of several confounders, including age, socioeconomic background, and family history of medical illness. She recruits 75 infants under 1 year of age with BRUE and 75 infants without BRUE of the same age, socioeconomic background, and family history of medical illness. She then compares the two groups with regard to history of feeding problems and history of recent upper respiratory infection. Which of the following methods was conducted to control confounding bias in the study?",Matching,Blinding,Restriction,Randomization,Matching,step2&3,D,"[""3 month old boy"",""brought"",""emergency department"",""parents"",""episode of cyanosis"",""muscle hypotonia"",""resolved"",""minutes"",""Diagnostic evaluation fails to discover"",""exact etiology"",""boy's symptoms"",""episode"",""classified"",""brief resolved unexplained event"",""risk profile"",""BRUE"",""infants"",""unknown"",""pediatrician"",""saw"",""boy"",""emergency department"",""to"",""risk factors"",""BRUE"",""aware"",""including age"",""socioeconomic background"",""family history of medical illness"",""75 infants"",""year"",""age"",""BRUE"",""75 infants"",""BRUE"",""same age"",""socioeconomic background"",""family history of medical illness"",""then compares"",""two groups"",""history"",""feeding problems"",""history"",""recent upper respiratory infection"",""following methods"",""conducted to control"",""bias"",""study""]"
"A 29-year-old man presents to the emergency department due to central chest pain over the past 3 days which is constant and unrelated to exertion. The pain is sharp, severe, increases when lying down, and improves with leaning forward. The pain also radiates to his shoulders and neck. The patient has no past medical history. He has smoked 10 cigarettes per day for the past 7 years and occasionally drinks alcohol. He presents with vital signs: blood pressure 110/70 mm Hg, regular radial pulse of 95/min, and temperature 37.3°C (99.1°F). On physical exam, a scratching sound of to-and-from character is audible over the left sternal border at end-expiration with the patient leaning forward. His chest X-ray is normal and ECG is shown in the picture. Which of the following is the optimal therapy for this patient?",Ibuprofen + colchicine +/- omeprazole,Indomethacin +/- omeprazole,Ibuprofen + colchicine +/- omeprazole,Pericardiocentesis,Pericardiectomy,step2&3,B,"[""29 year old man presents"",""emergency department due to central chest pain"",""past 3 days"",""constant"",""unrelated"",""exertion"",""pain"",""sharp"",""severe"",""increases"",""lying"",""improves"",""forward"",""pain"",""radiates"",""shoulders"",""neck"",""patient"",""past medical history"",""smoked 10 cigarettes"",""day"",""past"",""years"",""occasionally drinks alcohol"",""presents"",""vital signs"",""blood pressure"",""70 mm Hg"",""regular radial pulse"",""95 min"",""temperature"",""3C"",""99"",""physical exam"",""scratching sound"",""character"",""left sternal border"",""end-expiration"",""patient"",""forward"",""chest X-ray"",""normal"",""ECG"",""shown"",""picture"",""following"",""optimal therapy"",""patient""]"
"A 46-year-old man is brought to the emergency department for evaluation of altered mental status. He was found on the floor in front of his apartment. He is somnolent but responsive when aroused. His pulse is 64/min, respiratory rate is 15/min, and blood pressure is 120/75 mm Hg. On physical examination, an alcoholic smell and slurred speech are noted. Neurological exam shows diminished deep tendon reflexes bilaterally and an ataxic gait. His pupils are normal. Blood alcohol concentration is 0.04%. An ECG shows no abnormalities. Which of the following is the most likely cause of this patient's symptoms?","Benzodiazepine intoxication
""",Hypoglycemia,Ethanol intoxication,Cannabis intoxication,"Benzodiazepine intoxication
""",step2&3,D,"[""year old man"",""brought"",""emergency department"",""evaluation of altered mental status"",""found on"",""floor"",""apartment"",""somnolent"",""responsive"",""aroused"",""pulse"",""64 min"",""respiratory rate"",""min"",""blood pressure"",""75 mm Hg"",""physical examination"",""alcoholic smell"",""slurred speech"",""noted"",""Neurological exam shows diminished deep tendon reflexes"",""ataxic gait"",""pupils"",""normal"",""Blood alcohol concentration"",""0.04"",""ECG shows"",""abnormalities"",""following"",""most likely cause"",""patient's symptoms""]"
"A 77-year-old woman presents to the emergency room with the complaints of fever, malaise, and night sweats. She recently observed an enlargement of her axillary lymph nodes, which she examines on a weekly basis. She has a remote history of breast cancer in her 60s that was treated with radiation and chemotherapy. She also reports a history of extensive travel to Africa and a 30-pack-year history of smoking. On physical exam, several axillary lymph nodes are palpable with a large non-tender palpable mass in her right axilla measuring 10 x 8 cm. Fine-needle aspiration demonstrates what the pathologist describes as ""a centroblastic and immunoblastic cell presence, suspicious for non-Hodgkin’s lymphoma (NHL)–diffuse large B cell variant"". Which of the following risk factors is responsible for this patient’s condition?",Previous radiation therapy,Travel to Africa,Axillary lymph node involvement,Previous radiation therapy,Previous breast cancer,step1,C,"[""year old woman presents"",""emergency room"",""complaints"",""fever"",""malaise"",""night sweats"",""recently observed"",""enlargement of"",""axillary lymph nodes"",""weekly basis"",""remote history of breast cancer"",""treated with radiation"",""chemotherapy"",""reports"",""history of extensive travel"",""Africa"",""30 pack-year history of smoking"",""physical exam"",""several axillary lymph nodes"",""palpable"",""large non-tender"",""mass"",""right axilla measuring 10"",""8"",""Fine-needle aspiration demonstrates"",""pathologist"",""immunoblastic cell presence"",""suspicious"",""non-Hodgkins lymphoma"",""diffuse large B cell variant"",""following risk factors"",""responsible"",""patients condition""]"
"A 3-month-old infant is brought to her pediatrician because she coughs and seems to have difficulty breathing while feeding. In addition, she seems to have less energy compared to other babies and appears listless throughout the day. She was born by cesarean section to a G1P1 woman with no prior medical history and had a normal APGAR score at birth. Her parents say that she has never been observed to turn blue. Physical exam reveals a high-pitched holosystolic murmur that is best heard at the lower left sternal border. The most likely cause of this patient's symptoms is associated with which of the following abnormalities?",22q11 deletion,22q11 deletion,Deletion of genes on chromosome 7,Lithium exposure in utero,Maternal alcohol consumption,step1,A,"[""3 month old infant"",""brought"",""pediatrician"",""coughs"",""to"",""difficulty breathing"",""feeding"",""addition"",""to"",""less energy compared"",""babies"",""appears listless"",""day"",""born by cesarean section to"",""G1P1 woman"",""prior medical history"",""normal APGAR score at birth"",""parents"",""never"",""observed to turn blue"",""Physical exam reveals"",""high-pitched holosystolic murmur"",""best heard"",""lower left sternal border"",""most likely cause"",""patient's symptoms"",""associated with"",""following abnormalities""]"
"A 30-year-old African American woman comes to the physician for the evaluation of a dry cough and chest discomfort for the past 3 days. During this period, the patient has had headaches, muscle aches, joint pain, fever, and chills. Ten days ago, she was hiking with her family in Mississippi. The patient has asthma that is treated with an albuterol inhaler. Her mother has a lung disease treated with methotrexate. The patient has smoked one pack of cigarettes daily for the past 10 years. Her temperature is 38°C (100.4°F). Physical examination shows slight wheezes throughout both lung fields. Laboratory studies and urinalysis are positive for polysaccharide antigen. Bronchoalveolar lavage using silver/PAS-staining shows macrophages filled with a dimorphic fungus with septate hyphae. Which of the following is the most likely cause of this patient's symptoms?",Histoplasma capsulatum infection,Legionella pneumophila infection,Pneumocystis pneumonia,Histoplasma capsulatum infection,Blastomyces dermatitidis infection,step2&3,C,"[""30 year old African American woman"",""physician"",""evaluation"",""dry cough"",""chest discomfort"",""past 3 days"",""period"",""patient"",""headaches"",""muscle aches"",""joint pain"",""fever"",""chills"",""Ten days"",""hiking"",""family"",""Mississippi"",""patient"",""asthma"",""treated with"",""albuterol inhaler"",""mother"",""lung disease treated with methotrexate"",""patient"",""smoked one pack"",""cigarettes daily"",""past 10 years"",""temperature"",""100 4F"",""Physical examination shows slight wheezes"",""lung fields"",""Laboratory studies"",""urinalysis"",""positive"",""polysaccharide antigen"",""Bronchoalveolar lavage using silver PAS staining shows macrophages filled"",""dimorphic fungus"",""septate hyphae"",""following"",""most likely cause"",""patient's symptoms""]"
"A 62-year-old patient has been hospitalized for a week due to a stroke. One week into the hospitalization, he develops a fever and purulent cough. His vitals include: heart rate 88/min, respiratory rate 20/min, temperature 38.4°C (101.1°F), and blood pressure 110/85 mm Hg. On physical examination, he has basal crackles on the right side of the chest. Chest radiography shows a new consolidation on the same side. Complete blood count is as follows:
Hemoglobin 16 mg/dL
Hematocrit 50%
Leukocyte count 8,900/mm3
Neutrophils 72%
Bands 4%
Eosinophils 2%
Basophils 0%
Lymphocytes 17%
Monocytes 5%
Platelet count 280,000/mm3
What is the most likely causal microorganism?",Staphylococcus aureus,Streptococcus pneumoniae,Mycobacterium tuberculosis,Haemophilus influenzae,Staphylococcus aureus,step1,D,"[""62 year old patient"",""hospitalized"",""week"",""stroke"",""One week"",""hospitalization"",""fever"",""purulent cough"",""include"",""heart rate 88 min"",""respiratory rate 20 min"",""temperature"",""4C"",""blood pressure"",""85 mm Hg"",""physical examination"",""basal crackles"",""right side of"",""chest"",""Chest radiography shows"",""new consolidation"",""same side"",""Complete blood count"",""follows"",""Hemoglobin"",""Hematocrit 50"",""Leukocyte count 8 900 mm3"",""72"",""Bands 4"",""Eosinophils 2"",""Basophils 0"",""Lymphocytes"",""Monocytes 5"",""Platelet count"",""most likely causal microorganism""]"
